City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,edinburgh of the seven seas,-37.0676,-12.3116,14.78,94,100,16.57,SH,1723153528
1,blackmans bay,-43.0167,147.3167,8.18,77,66,0.45,AU,1723153530
2,puerto natales,-51.7236,-72.4875,11.25,58,75,13.38,CL,1723153531
3,leer,53.2316,7.461,18.86,81,100,4.75,DE,1723153532
4,adamstown,-25.066,-130.1015,21.77,77,47,10.43,PN,1723153533
5,porbandar,21.6422,69.6093,27.39,87,100,6.36,IN,1723153246
6,port lincoln,-34.7333,135.8667,10.76,82,100,2.94,AU,1723153535
7,ushuaia,-54.8,-68.3,4.81,81,20,2.06,AR,1723153414
8,jamestown,42.097,-79.2353,24.8,83,100,4.12,US,1723153537
9,udachny,66.4167,112.4,9.71,89,100,4.62,RU,1723153539
10,tolanaro,-25.0319,46.9987,20.04,88,20,11.83,MG,1723153541
11,alotau,-10.3069,150.4462,24.6,89,100,1.94,PG,1723153542
12,mount isa,-20.7333,139.5,8.87,61,0,3.09,AU,1723153543
13,longyearbyen,78.2186,15.6401,11.91,87,0,2.57,SJ,1723153544
14,bethel,41.3712,-73.414,20.05,91,100,5.14,US,1723153545
15,weno,7.4515,151.8468,27.97,89,75,0.0,FM,1723153546
16,mejit,10.2753,170.8646,28.42,80,100,8.42,MH,1723153547
17,kununurra,-15.7667,128.7333,19.99,52,6,2.57,AU,1723153548
18,port-aux-francais,-49.35,70.2167,2.07,79,90,9.61,TF,1723153549
19,albany,42.6001,-73.9662,18.48,75,99,3.03,US,1723153337
20,carnarvon,-24.8667,113.6333,16.99,56,0,6.06,AU,1723153552
21,qal'ah-ye shahr,35.5473,65.5676,13.5,25,0,1.56,AF,1723153553
22,stanley,54.868,-1.6985,16.4,93,40,2.06,GB,1723153554
23,attapeu,14.8,106.8333,24.04,97,17,0.17,LA,1723153555
24,ambon,-3.6954,128.1814,26.04,95,40,1.03,ID,1723153556
25,tangail,24.25,89.9167,26.12,92,100,4.21,BD,1723153557
26,college,64.8569,-147.8028,20.25,73,100,3.09,US,1723153558
27,iqaluit,63.7506,-68.5145,11.85,82,100,2.57,CA,1723153559
28,bilibino,68.0546,166.4372,11.17,48,26,1.06,RU,1723153560
29,mount gambier,-37.8333,140.7667,5.98,100,51,2.43,AU,1723153561
30,lander,42.833,-108.7307,21.66,49,40,2.57,US,1723153562
31,moratuwa,6.773,79.8816,26.88,81,100,4.45,LK,1723153563
32,kirensk,57.7853,108.1119,14.39,93,51,1.59,RU,1723153564
33,constantia,44.1833,28.65,22.28,73,0,3.11,RO,1723153565
34,lazaro cardenas,17.9583,-102.2,30.94,70,72,3.8,MX,1723153566
35,touros,-5.1989,-35.4608,24.18,84,0,5.64,BR,1723153539
36,puerto baquerizo moreno,-0.9,-89.6,22.55,88,75,4.63,EC,1723153569
37,malango,-2.9627,119.9001,19.27,99,98,0.78,ID,1723153570
38,grytviken,-54.2811,-36.5092,-14.42,75,17,7.12,GS,1723153572
39,ad dabbah,18.05,30.95,33.34,43,58,3.21,SD,1723153573
40,brisas de zicatela,15.8369,-97.0419,28.29,89,75,5.14,MX,1723153574
41,qaqortoq,60.7167,-46.0333,6.59,95,100,0.87,GL,1723153575
42,utrik,11.2278,169.8474,28.24,81,96,9.01,MH,1723153524
43,talnakh,69.4865,88.3972,7.49,79,3,1.87,RU,1723153577
44,castillos,-34.1667,-53.8333,7.67,65,46,4.43,UY,1723153578
45,whitehorse,60.7161,-135.0538,26.01,38,0,7.72,CA,1723153579
46,san antonio oeste,-40.7319,-64.9477,9.68,46,1,5.95,AR,1723153580
47,luwuk,-0.9516,122.7875,20.57,92,34,3.19,ID,1723153581
48,berrahal,36.8353,7.4533,26.76,54,0,2.06,DZ,1723153582
49,tutoia,-2.7619,-42.2744,26.0,81,38,5.68,BR,1723153583
50,hermanus,-34.4187,19.2345,14.04,82,97,15.73,ZA,1723153584
51,yellowknife,62.456,-114.3525,23.01,50,20,7.2,CA,1723153585
52,igarka,67.4667,86.5833,9.92,71,94,4.92,RU,1723153586
53,khandyga,62.6667,135.6,14.91,72,36,0.34,RU,1723153587
54,tarko-sale,64.9225,77.785,11.77,63,100,6.74,RU,1723153588
55,tadine,-21.55,167.8833,22.09,67,15,5.33,NC,1723153590
56,nago,26.5881,127.9761,27.33,84,1,1.28,JP,1723153591
57,gateway,26.5776,-81.7504,32.99,59,0,7.2,US,1723153592
58,lihue,21.9789,-159.3672,28.53,69,20,5.66,US,1723153593
59,vikhorevka,56.1201,101.1636,12.59,96,20,1.19,RU,1723153594
60,zabol,32.25,67.25,25.24,29,0,5.79,AF,1723153595
61,papatowai,-46.5619,169.4708,7.8,78,39,0.77,NZ,1723153596
62,pakokku,21.3333,95.1,25.52,82,9,3.69,MM,1723153597
63,dudinka,69.4058,86.1778,5.74,81,0,6.63,RU,1723153599
64,wynyard,-41.0,145.7167,8.9,89,32,2.16,AU,1723153600
65,labrador city,52.9463,-66.9114,15.95,55,75,5.14,CA,1723153601
66,newman,37.3138,-121.0208,42.57,8,0,2.32,US,1723153602
67,saint croix,17.7397,-64.7388,30.25,82,0,5.66,VI,1723153603
68,waitangi,-43.9535,-176.5597,11.01,91,88,2.68,NZ,1723153604
69,west island,-12.1568,96.8225,26.99,78,38,7.2,CC,1723153605
70,basi,26.8333,76.0333,24.96,92,100,2.83,IN,1723153606
71,anadyr,64.75,177.4833,8.28,75,40,3.0,RU,1723153607
72,tarinkot,32.6268,65.8733,27.06,21,0,0.87,AF,1723153608
73,st. john's,47.5649,-52.7093,22.66,43,75,5.14,CA,1723153609
74,port blair,11.6667,92.75,27.22,84,40,3.8,IN,1723153610
75,georgetown,5.4112,100.3354,27.96,78,20,2.57,MY,1723153612
76,tralee,52.2704,-9.7026,14.15,88,97,4.5,IE,1723153613
77,tazovsky,67.4667,78.7,5.14,88,35,5.36,RU,1723153614
78,kodiak,57.79,-152.4072,14.73,67,75,4.63,US,1723153615
79,acarau,-2.8856,-40.12,25.15,83,43,7.37,BR,1723153616
80,keflavik,64.0049,-22.5624,10.24,87,100,2.57,IS,1723153617
81,inhambane,-23.865,35.3833,21.15,88,0,5.57,MZ,1723153618
82,bredasdorp,-34.5322,20.0403,12.18,91,75,6.55,ZA,1723153619
83,tanout,14.9709,8.8879,28.05,60,89,6.27,NE,1723153620
84,new norfolk,-42.7826,147.0587,7.83,85,76,1.72,AU,1723153621
85,ribeira grande,38.5167,-28.7,23.76,80,0,2.24,PT,1723153622
86,tenenkou,14.4572,-4.9169,25.24,85,93,4.27,ML,1723153623
87,atamyrat,37.8357,65.2106,31.48,13,0,3.33,TM,1723153624
88,petropavlovsk-kamchatsky,53.0452,158.6483,14.33,100,100,1.0,RU,1723153625
89,margaret river,-33.95,115.0667,15.22,81,72,4.97,AU,1723153626
90,vail,32.0479,-110.712,34.68,35,22,1.34,US,1723153628
91,mahanoro,-19.9,48.8,18.57,90,9,1.95,MG,1723153630
92,shihezi,44.3,86.0333,26.38,28,4,2.87,CN,1723153631
93,kapuskasing,49.4169,-82.4331,16.05,94,100,3.6,CA,1723153382
94,shendi,16.6915,33.4341,29.19,63,100,4.41,SD,1723153633
95,afaahiti,-17.75,-149.2833,24.66,83,27,4.91,PF,1723153634
96,polyarnyy,69.1989,33.4478,12.98,60,20,5.03,RU,1723153635
97,kimbe,-5.5502,150.1429,26.46,79,39,2.33,PG,1723153636
98,oriximina,-1.7656,-55.8661,30.67,40,0,1.66,BR,1723153637
99,thompson,55.7435,-97.8558,20.09,45,75,4.63,CA,1723153638
100,shalqar,47.8333,59.6,21.16,65,20,4.14,KZ,1723153639
101,invercargill,-46.4,168.35,4.45,98,65,0.45,NZ,1723153640
102,port elizabeth,-33.918,25.5701,13.16,91,0,3.09,ZA,1723153511
103,daejeon,36.3333,127.4167,24.26,96,0,0.3,KR,1723153642
104,chonchi,-42.6128,-73.8092,6.91,91,100,0.61,CL,1723153643
105,avarua,-21.2078,-159.775,23.03,49,40,4.12,CK,1723153375
106,novoishimskiy,53.1981,66.7694,12.69,93,100,6.35,KZ,1723153645
107,sona,45.4388,10.8255,23.51,78,0,1.54,IT,1723153647
108,taltal,-25.4,-70.4833,15.37,73,6,0.57,CL,1723153648
109,egilsstadir,65.2653,-14.3948,7.95,93,100,2.57,IS,1723153649
110,chervyen',53.7059,28.4313,16.79,72,100,1.07,BY,1723153650
111,vilyuchinsk,52.9306,158.4028,13.39,99,100,0.95,RU,1723153651
112,katoro,-3.0203,31.8958,20.21,60,10,0.2,TZ,1723153652
113,isangel,-19.55,169.2667,21.06,88,40,1.03,VU,1723153653
114,fale old settlement,-9.3852,-171.2468,28.29,76,100,7.6,TK,1723153654
115,amstetten,48.1229,14.8721,16.76,97,27,1.61,AT,1723153655
116,than,22.5667,71.1833,26.72,81,100,5.32,IN,1723153656
117,punta arenas,-53.15,-70.9167,7.06,81,100,6.17,CL,1723153012
118,wailua homesteads,22.0669,-159.378,28.19,67,20,5.66,US,1723153658
119,nacala,-14.5428,40.6728,20.62,89,3,1.14,MZ,1723153659
120,sinjai,-5.1241,120.253,22.96,87,34,0.49,ID,1723153660
121,ko pha ngan,9.7578,100.0291,25.97,75,82,5.09,TH,1723153661
122,delice,39.9537,34.0259,20.73,56,0,3.18,TR,1723153662
123,mehtar lam,34.6714,70.2094,28.8,70,10,0.92,AF,1723153663
124,tsiombe,-25.3,45.4833,19.53,78,0,1.95,MG,1723153664
125,qamdo,31.1667,97.2333,7.18,92,100,2.11,CN,1723153665
126,ilulissat,69.2167,-51.1,6.01,93,75,1.54,GL,1723153667
127,midvagur,62.0511,-7.1939,10.46,93,100,2.06,FO,1723153668
128,ta`u,-14.2336,-169.5144,25.24,74,93,10.04,AS,1723153672
129,kailua-kona,19.6406,-155.9956,28.49,77,40,4.12,US,1723153673
130,xiva,41.3783,60.3639,32.54,34,9,8.14,UZ,1723153674
131,shimoda,34.6667,138.95,27.98,81,0,2.29,JP,1723153675
132,flying fish cove,-10.4217,105.6791,24.82,88,100,6.69,CX,1723153676
133,point fortin,10.1833,-61.6833,29.14,68,11,2.31,TT,1723153677
134,port mathurin,-19.6833,63.4167,22.33,75,47,8.6,MU,1723153678
135,sittwe,20.15,92.9,26.04,87,81,1.77,MM,1723153679
136,puerto ayora,-0.7393,-90.3518,20.86,88,91,2.24,EC,1723153680
137,shingu,33.7333,135.9833,27.38,67,3,1.44,JP,1723153681
138,al harithah,30.7186,47.7208,35.98,19,0,5.14,IQ,1723153682
139,dwarka,22.2394,68.9678,27.69,85,100,7.19,IN,1723153683
140,kaoma,-14.7833,24.8,15.87,30,6,2.28,ZM,1723153684
141,minas de marcona,-15.2119,-75.1103,11.76,80,36,7.85,PE,1723153685
142,blenheim,-41.516,173.9528,8.62,96,100,0.89,NZ,1723153687
143,hithadhoo,-0.6,73.0833,27.31,77,100,4.51,MV,1723153688
